phase,batch,file_path,inv_path
phase1,iceberg,LIBRNewsPaperShare/Historic Maryland Newspaper Porject HD009 - Date 4202015/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Porject HD009 - Date 4202015_work_scan.csv
phase1,iceberg,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD009 - batch_mdu_iceberg - Archive Date 01302015/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD009 - batch_mdu_iceberg - Archive Date 01302015_work_scan.csv
phase1,iceberg,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD009 - batch_mdu_iceberg - Archive Date 3222015 - Retry/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD009 - batch_mdu_iceberg - Archive Date 3222015 - Retry_work_scan.csv
phase1,jalapeno,LIBRNewsPaperShare/Historic Newspaper Project HD010 - batch_mdu_Jalapeno -Archive Date 6102015/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Newspaper Project HD010 - batch_mdu_Jalapeno -Archive Date 6102015_work_scan.csv
phase1,kale,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_kale - ARCHIVE of DRIVE - Date 3212019/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_kale - ARCHIVE of DRIVE - Date 3212019_work_scan.csv
phase1,kale,LIBRNewsPaperShare/Historic Maryland Newspaper Project HD011 - batch_mdu_kale - Archive Date 5222015/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project HD011 - batch_mdu_kale - Archive Date 5222015_work_scan.csv
phase2,alvarez,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015_work_scan.csv
phase2,bode,LIBRDCRProjectsShare/Newspaper_Archive_Batch_mdu_Bode - Date 0442016,LIBRDCRProjectsShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Projects-Export_Newspaper_Archive_Batch_mdu_Bode - Date 0442016_work_scan.csv
phase2,cain,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_cain  - Date 4202016/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_cain  - Date 4202016_work_scan.csv
phase2,douglass,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_douglass  - Date 4202016/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_douglass  - Date 4202016_work_scan.csv
